ID,DEPT,GENDER,AGE,HR1,HR2,HR3,HR4,HR5,STG1,STG2,STG3,OP1,OP2,OE1,OE2,OE3,OE4,OE5,OPEN_Q1,OPEN_Q2
마케_001,마케팅팀,여,40대,3,4,2,2,3,4,4,3,2,3,3,4,4,3,4,팀 내 소통이 원활하고 창의적인 아이디어를 존중하는 문화가 좋습니다.,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.
마케_002,마케팅팀,남,30대,3,4,4,4,3,3,3,4,2,3,3,2,4,2,3,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.,팀 내 소통이 원활하고 창의적인 아이디어를 존중하는 문화가 좋습니다.
마케_003,마케팅팀,여,30대,3,4,2,2,3,3,3,4,3,3,4,4,4,2,2,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.
마케_004,마케팅팀,여,30대,3,2,3,2,2,4,4,4,4,5,3,3,3,4,3,팀 내 소통이 원활하고 창의적인 아이디어를 존중하는 문화가 좋습니다.,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.
마케_005,마케팅팀,여,20대,3,3,2,4,3,3,5,4,5,3,3,4,2,2,3,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.
마케_006,마케팅팀,남,50대,3,4,3,1,3,2,3,4,4,3,3,2,4,4,3,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.,팀 내 소통이 원활하고 창의적인 아이디어를 존중하는 문화가 좋습니다.
마케_007,마케팅팀,남,40대,3,4,2,3,4,5,4,3,4,3,4,4,3,3,3,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.
마케_008,마케팅팀,남,50대,3,3,4,3,3,5,3,4,4,3,5,5,2,4,3,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.
마케_009,마케팅팀,남,50대,4,3,4,2,3,4,3,2,5,3,4,3,4,5,4,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.
마케_010,마케팅팀,남,50대,4,3,2,4,2,3,3,2,3,3,3,3,4,2,5,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.
마케_011,마케팅팀,여,30대,4,2,3,4,5,4,3,3,2,4,3,5,2,4,2,팀 내 소통이 원활하고 창의적인 아이디어를 존중하는 문화가 좋습니다.,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.
마케_012,마케팅팀,여,40대,4,3,4,3,3,4,4,3,5,2,3,4,3,3,3,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.
마케_013,마케팅팀,남,40대,2,5,3,3,4,4,4,2,4,3,2,2,3,4,3,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.,팀 내 소통이 원활하고 창의적인 아이디어를 존중하는 문화가 좋습니다.
마케_014,마케팅팀,여,40대,4,3,3,4,2,2,3,5,3,4,3,3,3,4,3,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.,팀 내 소통이 원활하고 창의적인 아이디어를 존중하는 문화가 좋습니다.
마케_015,마케팅팀,여,40대,3,3,2,4,3,4,2,5,3,3,3,2,3,4,2,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.,팀 내 소통이 원활하고 창의적인 아이디어를 존중하는 문화가 좋습니다.
개발_001,개발팀,여,50대,3,3,4,4,3,3,2,3,3,3,2,3,4,3,3,코드 리뷰 프로세스가 개선되면 좋겠습니다.,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.
개발_002,개발팀,여,50대,4,4,2,3,3,3,2,2,3,3,2,2,3,2,3,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.,개발 환경과 인프라 지원이 훌륭합니다.
개발_003,개발팀,남,20대,3,2,4,4,3,4,5,3,3,3,3,3,3,3,2,코드 리뷰 프로세스가 개선되면 좋겠습니다.,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.
개발_004,개발팀,남,40대,3,4,2,3,4,1,2,3,3,2,3,3,4,3,1,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.,개발 환경과 인프라 지원이 훌륭합니다.
개발_005,개발팀,여,40대,2,3,3,4,3,2,4,5,2,3,4,3,2,2,3,개발 환경과 인프라 지원이 훌륭합니다.,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.
개발_006,개발팀,여,20대,3,2,4,4,3,4,4,3,1,3,4,2,2,4,4,코드 리뷰 프로세스가 개선되면 좋겠습니다.,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.
개발_007,개발팀,남,20대,4,2,4,3,4,3,4,3,3,2,2,1,3,2,3,코드 리뷰 프로세스가 개선되면 좋겠습니다.,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.
개발_008,개발팀,여,50대,3,4,3,4,3,4,4,4,3,3,3,4,3,3,2,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.,코드 리뷰 프로세스가 개선되면 좋겠습니다.
개발_009,개발팀,여,30대,3,4,3,2,2,3,3,3,4,2,1,4,4,3,3,개발 환경과 인프라 지원이 훌륭합니다.,코드 리뷰 프로세스가 개선되면 좋겠습니다.
개발_010,개발팀,여,40대,3,3,1,3,2,2,3,2,2,2,3,2,4,3,3,코드 리뷰 프로세스가 개선되면 좋겠습니다.,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.
개발_011,개발팀,남,50대,3,2,3,3,2,3,1,3,2,3,4,3,2,1,5,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.,개발 환경과 인프라 지원이 훌륭합니다.
개발_012,개발팀,여,30대,3,3,1,4,2,3,4,4,2,4,4,3,3,3,5,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.,코드 리뷰 프로세스가 개선되면 좋겠습니다.
개발_013,개발팀,여,20대,3,2,3,3,2,4,4,3,2,3,2,3,2,3,3,코드 리뷰 프로세스가 개선되면 좋겠습니다.,개발 환경과 인프라 지원이 훌륭합니다.
개발_014,개발팀,남,40대,2,3,4,2,3,3,3,4,3,3,3,3,3,4,2,코드 리뷰 프로세스가 개선되면 좋겠습니다.,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.
개발_015,개발팀,여,50대,3,2,3,3,3,3,4,3,2,4,2,3,3,4,3,코드 리뷰 프로세스가 개선되면 좋겠습니다.,개발 환경과 인프라 지원이 훌륭합니다.
개발_016,개발팀,여,50대,2,4,4,3,3,2,3,3,3,2,2,3,2,3,4,개발 환경과 인프라 지원이 훌륭합니다.,코드 리뷰 프로세스가 개선되면 좋겠습니다.
개발_017,개발팀,남,40대,4,2,4,4,4,3,3,2,4,3,2,2,2,3,5,개발 환경과 인프라 지원이 훌륭합니다.,코드 리뷰 프로세스가 개선되면 좋겠습니다.
개발_018,개발팀,여,40대,4,2,3,2,2,3,3,3,4,2,4,2,3,4,3,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.,개발 환경과 인프라 지원이 훌륭합니다.
개발_019,개발팀,남,20대,4,3,4,3,5,3,4,3,3,1,2,2,2,3,4,기술 스택 업데이트와 교육 기회가 많아서 좋습니다.,개발 환경과 인프라 지원이 훌륭합니다.
개발_020,개발팀,여,20대,3,3,3,4,3,3,3,3,3,2,2,3,3,4,4,코드 리뷰 프로세스가 개선되면 좋겠습니다.,개발 환경과 인프라 지원이 훌륭합니다.
영업_001,영업팀,여,30대,5,4,3,4,3,4,3,4,3,4,3,3,3,4,4,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.,CRM 시스템 개선이 필요합니다.
영업_002,영업팀,남,20대,3,3,3,4,4,4,4,4,3,3,4,3,3,3,2,CRM 시스템 개선이 필요합니다.,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.
영업_003,영업팀,남,40대,4,4,3,3,4,5,2,3,4,3,4,3,3,3,3,목표 달성에 대한 보상이 명확해서 동기부여가 됩니다.,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.
영업_004,영업팀,남,50대,2,3,4,3,3,4,4,3,2,3,3,4,3,2,3,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.,목표 달성에 대한 보상이 명확해서 동기부여가 됩니다.
영업_005,영업팀,여,30대,4,3,4,4,2,4,3,4,2,2,3,3,4,4,5,CRM 시스템 개선이 필요합니다.,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.
영업_006,영업팀,남,20대,2,4,2,3,2,4,4,5,5,4,3,4,4,2,4,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.,목표 달성에 대한 보상이 명확해서 동기부여가 됩니다.
영업_007,영업팀,남,30대,3,4,4,4,3,3,4,3,2,3,3,4,4,4,3,목표 달성에 대한 보상이 명확해서 동기부여가 됩니다.,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.
영업_008,영업팀,남,50대,3,4,3,5,4,3,3,4,3,3,3,3,3,3,4,CRM 시스템 개선이 필요합니다.,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.
영업_009,영업팀,여,20대,4,2,4,4,3,2,4,5,5,4,4,3,2,4,4,CRM 시스템 개선이 필요합니다.,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.
영업_010,영업팀,남,30대,2,3,3,3,5,3,4,4,3,3,4,4,3,4,3,목표 달성에 대한 보상이 명확해서 동기부여가 됩니다.,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.
영업_011,영업팀,남,20대,4,3,5,4,4,5,4,5,3,5,3,3,4,3,4,CRM 시스템 개선이 필요합니다.,목표 달성에 대한 보상이 명확해서 동기부여가 됩니다.
영업_012,영업팀,남,20대,4,4,3,3,3,2,4,4,3,2,4,3,2,4,3,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.,목표 달성에 대한 보상이 명확해서 동기부여가 됩니다.
영업_013,영업팀,여,50대,5,3,2,4,3,4,3,3,4,3,4,2,5,3,4,목표 달성에 대한 보상이 명확해서 동기부여가 됩니다.,CRM 시스템 개선이 필요합니다.
영업_014,영업팀,남,40대,4,4,3,4,5,3,3,3,5,3,3,4,3,4,4,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.,목표 달성에 대한 보상이 명확해서 동기부여가 됩니다.
영업_015,영업팀,남,40대,3,3,4,5,3,2,3,4,2,3,3,4,3,5,3,목표 달성에 대한 보상이 명확해서 동기부여가 됩니다.,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.
영업_016,영업팀,여,20대,3,4,3,3,4,4,4,1,5,4,3,2,3,3,4,목표 달성에 대한 보상이 명확해서 동기부여가 됩니다.,CRM 시스템 개선이 필요합니다.
영업_017,영업팀,남,50대,4,3,4,5,3,3,4,3,5,4,4,5,3,2,3,팀워크가 좋고 서로 도우는 문화가 잘 형성되어 있습니다.,CRM 시스템 개선이 필요합니다.
영업_018,영업팀,여,40대,5,5,3,3,3,4,5,3,4,4,4,4,3,3,3,목표 달성에 대한 보상이 명확해서 동기부여가 됩니다.,CRM 시스템 개선이 필요합니다.
기획_001,기획팀,남,20대,3,2,3,3,4,3,3,3,2,3,3,5,4,3,3,전략적 사고와 장기적 관점을 중시하는 문화가 좋습니다.,부서간 협업 프로세스가 더 체계화되면 좋겠습니다.
기획_002,기획팀,남,50대,3,2,3,4,4,3,3,3,3,3,2,3,3,3,4,전략적 사고와 장기적 관점을 중시하는 문화가 좋습니다.,부서간 협업 프로세스가 더 체계화되면 좋겠습니다.
기획_003,기획팀,여,30대,3,3,3,3,3,3,4,4,4,2,2,2,2,3,4,부서간 협업 프로세스가 더 체계화되면 좋겠습니다.,의사결정 과정이 투명하고 합리적입니다.
기획_004,기획팀,남,30대,2,2,2,1,3,2,4,3,3,3,3,3,4,3,3,전략적 사고와 장기적 관점을 중시하는 문화가 좋습니다.,부서간 협업 프로세스가 더 체계화되면 좋겠습니다.
기획_005,기획팀,여,40대,2,3,1,5,3,3,3,5,2,4,5,2,3,3,2,전략적 사고와 장기적 관점을 중시하는 문화가 좋습니다.,부서간 협업 프로세스가 더 체계화되면 좋겠습니다.
기획_006,기획팀,여,50대,3,2,3,3,3,3,4,2,3,2,3,4,3,5,5,의사결정 과정이 투명하고 합리적입니다.,부서간 협업 프로세스가 더 체계화되면 좋겠습니다.
기획_007,기획팀,여,50대,3,2,3,2,4,3,3,4,3,2,3,2,3,3,3,부서간 협업 프로세스가 더 체계화되면 좋겠습니다.,의사결정 과정이 투명하고 합리적입니다.
기획_008,기획팀,여,50대,1,3,5,4,3,3,2,3,4,4,2,4,3,2,4,부서간 협업 프로세스가 더 체계화되면 좋겠습니다.,의사결정 과정이 투명하고 합리적입니다.
기획_009,기획팀,남,50대,3,3,3,3,2,3,2,3,4,3,4,3,4,2,3,전략적 사고와 장기적 관점을 중시하는 문화가 좋습니다.,의사결정 과정이 투명하고 합리적입니다.
기획_010,기획팀,여,40대,3,4,3,3,2,3,2,3,4,2,5,3,2,2,4,의사결정 과정이 투명하고 합리적입니다.,부서간 협업 프로세스가 더 체계화되면 좋겠습니다.
기획_011,기획팀,여,20대,4,3,2,3,3,3,2,3,3,2,3,3,3,3,2,전략적 사고와 장기적 관점을 중시하는 문화가 좋습니다.,의사결정 과정이 투명하고 합리적입니다.
기획_012,기획팀,남,50대,4,4,4,3,4,3,3,3,4,2,3,4,4,3,2,전략적 사고와 장기적 관점을 중시하는 문화가 좋습니다.,부서간 협업 프로세스가 더 체계화되면 좋겠습니다.
디자_001,디자인팀,여,50대,3,3,4,3,3,2,3,2,3,3,4,4,2,2,3,창의성을 존중하고 실험적인 시도를 장려합니다.,디자인 리소스와 툴 지원이 개선되면 좋겠습니다.
디자_002,디자인팀,남,20대,3,3,3,2,2,3,2,3,4,4,4,2,2,2,4,팀원들의 전문성이 높고 서로 배울 점이 많습니다.,창의성을 존중하고 실험적인 시도를 장려합니다.
디자_003,디자인팀,남,50대,3,3,4,3,3,1,3,4,4,3,3,2,3,3,3,팀원들의 전문성이 높고 서로 배울 점이 많습니다.,창의성을 존중하고 실험적인 시도를 장려합니다.
디자_004,디자인팀,남,50대,3,4,2,3,4,2,3,4,4,4,3,3,3,2,3,팀원들의 전문성이 높고 서로 배울 점이 많습니다.,창의성을 존중하고 실험적인 시도를 장려합니다.
디자_005,디자인팀,여,50대,4,5,4,4,3,3,2,2,4,2,4,3,3,2,2,창의성을 존중하고 실험적인 시도를 장려합니다.,디자인 리소스와 툴 지원이 개선되면 좋겠습니다.
디자_006,디자인팀,남,20대,3,4,4,3,3,4,3,4,3,3,3,3,4,3,3,디자인 리소스와 툴 지원이 개선되면 좋겠습니다.,창의성을 존중하고 실험적인 시도를 장려합니다.
디자_007,디자인팀,여,30대,2,3,5,4,4,3,4,3,4,3,2,1,2,3,4,팀원들의 전문성이 높고 서로 배울 점이 많습니다.,창의성을 존중하고 실험적인 시도를 장려합니다.
디자_008,디자인팀,여,20대,4,3,4,3,3,4,2,2,3,2,2,2,2,3,2,창의성을 존중하고 실험적인 시도를 장려합니다.,디자인 리소스와 툴 지원이 개선되면 좋겠습니다.
디자_009,디자인팀,남,20대,2,3,4,3,5,4,2,4,4,2,3,4,2,4,4,팀원들의 전문성이 높고 서로 배울 점이 많습니다.,디자인 리소스와 툴 지원이 개선되면 좋겠습니다.
디자_010,디자인팀,남,40대,3,3,4,2,2,3,3,4,3,3,4,3,3,3,2,디자인 리소스와 툴 지원이 개선되면 좋겠습니다.,팀원들의 전문성이 높고 서로 배울 점이 많습니다.
